Abrasives and Nonmetallic Minerals Manufacturing,,,
Accommodation,,,
Accounting,12,,
Administration of Justice,,,
Administrative and Support Services,,,
Advertising Services,,,
Agricultural Chemical Manufacturing,,,
Agriculture,39, Mining Machinery Manufacturing,
Air, Water, and Waste Program Management,
Airlines and Aviation,,,
Alternative Dispute Resolution,81,,
Alternative Medicine,137,,
Ambulance Services,,,
Amusement Parks and Arcades,,,
Animal Feed Manufacturing,,,
Animation and Post-production,129,,
Apparel Manufacturing,,,
Appliance, Electrical, and Electronics Manufacturing,
Architectural and Structural Metal Manufacturing,,,
Architecture and Planning,,,
Armed Forces,,,
Artificial Rubber and Synthetic Fiber Manufacturing,,,
Artists and Writers,,,
Audio and Video Equipment Manufacturing,,,
Automation Machinery Manufacturing,39,,
Aviation and Aerospace Component Manufacturing,,,
Baked Goods Manufacturing,,,
Banking,48,,
Bars, Taverns, and Nightclubs,
Bed-and-Breakfasts, Hostels, Homestays,
Beverage Manufacturing,,,
Biomass Electric Power Generation,,,
Biotechnology Research,66,,
Blockchain Services,,,
Blogs,,,
Boilers, Tanks and Shipping Container Manufacturing,,
Book and Periodical Publishing,105,,
Book Publishing,105,,
Breweries,,,
Broadcast Media Production and Distribution,133,,
Building Construction,8,,
Building Equipment Contractors,,,
Building Finishing Contractors,,,
Building Structure and Exterior Contractors,,,
Business Consulting and Service,,,
Business Content,,,
Business Intelligence Platforms,,,
Cable and Satellite Programming,,,
Capital Markets,49,,
Caterers,,,
Chemical Manufacturing,,,
Chemical Raw Materials Manufacturing,,,
Child Day Care Services,,,
Chiropractors,,,
Circuses and Magic Shows,,,
Civic and Social Organization,,,
Civil Engineering,7,,
Claims Adjusting, Actuarial Services,,
Clay and Refractory Products Manufacturing,,,
Coal Mining	Manufacturing,,,
Collections,,,
Commercial and Industrial Equipment Rental,,,
Commercial and Industrial Machinery Maintenance,39,,
Commercial and Service Industry Machinery Manufacturing,39,,
Communications Equipment Manufacturing,,,
Community Development and Urban Planning,,,
Community Services,,,
Computer and Network Security,,,
Computer Games,131,,
Computer Hardware Manufacturing,73,,
Computer Networking Products,74,,
Computers and Electronics Manufacturing,,,
Conservation Programs,,,
Construction	Manufacturing,8,,
Construction Hardwre Manufacturing,8,,
Consumer Goods Rental,86,,
Consumer Services,87,,
Correctional Institutions,,,
Cosmetology and Barber Schools,,,
Courts of Law,,,
Credit Intermediation,,,
Cutlery and Handtool Manufacturing,,,
Dairy Product Manufacturing,95,,
Dance Companies,,,
Data Infrastructure and Analytics,,,
Data Security Software Products,,,
Defense and Space Manufacturing,,,
Dentists,,,
Design Services,10,,
Desktop Computing Software Products,,,
Distilleries,,,
E-Learning Providers,2,,
Economic Programs,,,
Education,,,
Education Administration Programs,,,
Electric Lighting Equipment Manufacturing,,,
Electric Power Generation,,,
Electric Power Transmission, Control, and Distribution,
Electrical Equipment Manufacturing,,,
Electronic and Precision Equipment Maintenance,,,
Embedded Software Products,,,
Emergency and Relief Services,,,
Engines and Power Transmission Equipment Manufacturing,,,
Entertainment Providers,132,,
Environmental Quality Programs,,,
Environmental Services,14,,
Equipment Rental Services,,,
Events Services,15,,
Executive Offices,16,,
Executive Search Services,,,
Fabricated Metal Products	Manufacturing,,,
Facilities Services,17,,
Family Planning Centers,,,
Farming,96,,
Farming,96, Forestry,
Fashion Accessories Manufacturing,,,
Financial Services,50,,
Fine Arts Schools,63,,
Fire Protection,,,
Fisheries,,,
Flight Training,,,
Food and Beverage Manufacturing,,,
Food and Beverage Retail,25,,
Food and Beverage Services,,,
Footwear and Leather Goods Repair,,,
Footwear Manufacturing,,,
Forestry and Logging,,,
Fossil Fuel Electric Power Generation,,,
Freight and Package Transportation,,,
Fruit and Vegetable Preserves Manufacturing,,,
Fundraising,109,,
Funds and Trusts,,,
Furniture and Home Furnishings Manufacturing,90,,
Gambling Facilities and Casinos,,,
Geothermal Electric Power Generation,,,
Glass Product Manufacturing,,,
Glass, Ceramics and Concrete Manufacturing,,
Golf Courses and Country Clubs,,,
Government Administration,142,,
Government Relation Services,,,
Graphic Design,11,,
Ground Passenger Transportation,,,
Health and Human Services,,,
Higher Education,3,,
Highway,8, and Bridge Construction,
Historical Sites,,,
Holding Companies,,,
Home Health Care Services,,,
Horticulture,,,
Hospitality,57,,
Hospitals,,,
Hospitals and Health Care,,,
Hotels and Motels,,,
Household and Institutional Furniture Manufacturing,90,,
Household Appliance Manufacturing,,,
Household Services,,,
Housing and Community Development,,,
Housing Programs,,,
Human Resources Services,18,,
HVAC and Refrigeration Equipment Manufacturing,,,
Hydroelectric Power Generation,,,
Individual and Family Services,,,
Industrial Machinery Manufacturing,39,,
Industry Associations,,,
